,vulnName,changeset,CVE,BID,BugzillaOpendate,reporttime,patchrelease
0,504014,8b5646a07963,CVE-2011-3670,51786,2009-07-13,2012-01-31,2012-01-31
1,562442,978002c0b0ad 3c039628db9b,CVE-2011-3660,51133,2010-04-28,2011-12-20,2011-12-20
2,601102,cbda245a805d 9be05c62b6ce,CVE-2011-0079,47657,2010-10-01,2011-04-28,2011-04-28
3,615147,5efe5f98ac13,CVE-2011-0080,47641,2010-11-28,2011-04-28,2011-04-28
4,617247,36089a888097,CVE-2011-2373,48373,2010-12-06,2011-06-21,2011-06-21
5,619021,c0ad36a84c5d e2f7319148ce 67cfc95b4b90 dfa73f7b1acf,CVE-2011-0074,47646,2010-12-14,2011-04-28,2011-04-28
6,623998,25b143f03be4,CVE-2011-0077,47648,2011-01-07,2011-04-28,2011-04-28
7,624187,e23b4fe4e09c,CVE-2011-0072,47655,2011-01-08,2011-04-28,2011-04-28
8,626262,12ea0bd80e2e,CVE-2011-2374,48361,2011-01-16,2011-06-21,2011-06-21
9,629858,17273c2c0eda,CVE-2011-2374,48361,2011-01-29,2011-06-21,2011-06-21
10,634257,aa28638dc457,CVE-2011-0080,47641,2011-02-15,2011-04-28,2011-04-28
11,634444,451ed5328312 0d4b01278890 2d44fc834071,CVE-2012-3983,56145,2011-02-15,2012-10-09,2012-10-09
12,635705,f8279991d58f,CVE-2011-0078,47651,2011-02-21,2011-04-28,2011-04-28
13,635852,d5ec1f00ccd2 a11d11b69ee7 12f0f87e4497,CVE-2013-0788,58819,2011-02-22,2013-04-02,2013-04-02
14,635977,a8e0f63f173f,CVE-2011-0075,,2011-02-22,2011-05-07,2011-04-28
15,637621,ab7fd603bb9d,CVE-2011-0080,47641,2011-03-01,2011-04-28,2011-04-28
16,637957,38028bf13fb2 290403971149,CVE-2011-0080,47641,2011-03-01,2011-04-28,2011-04-28
17,638236,f76fac273005 8be874c41712,CVE-2011-0080,47641,2011-03-02,2011-04-28,2011-04-28
18,639303,86849e5fb7ca 2c4a0ac34b33,CVE-2011-2377,48369,2011-03-06,2011-06-21,2011-06-21
