,vulnName,CVE,BID,reporttime,patchrelease
0,25-012_cron,CVE-2000-0312,88301,2001-03-12,1999-08-30
1,25-011_miscfs,CVE-1999-0724,88066,1999-08-12,1999-08-12
2,25-010_profil,CVE-1999-0674,570,1999-08-09,1999-08-09
3,25-009_ipsec_in_use,CVE-1999-0727,88058,1999-08-06,1999-08-06
4,25-007_chflags,CVE-1999-0703,88061,1999-08-03,1999-07-30
5,26-024_sysv_sem,CVE-2000-0461,1270,2000-05-29,2000-05-26
6,26-023_ipf,,,,2000-05-25
7,26-022_xlockmore,,,,2000-05-25
8,26-018_procfs,CVE-2000-0094,940,2000-01-21,2000-01-20
9,26-011_poll,CVE-1999-0481,82866,1999-03-22,1999-12-04
10,26-002_ifmedia,CVE-2000-0313,88178,2001-03-12,1999-11-09
11,27-040_readline,CVE-2001-0378,89009,2001-06-27,2001-03-18
12,27-037_ftpd,CVE-2001-0053,2124,2000-12-18,2000-12-04
13,27-035_sshforwarding,,,,2000-11-10
14,27-032_xtrans,,,,2000-10-26
15,27-031_httpd,,,,2000-10-18
16,27-030_telnetd,,,,2000-10-10
17,27-028_format_strings,CVE-2000-0994 CVE-2000-0995 CVE-2000-0996 CVE-2000-0997 CVE-2000-0998 CVE-2000-0999,88603 88654 88513 1752 1746,2000-10-04,2000-10-06
18,27-027_curses,,,,2000-10-06
19,27-026_talkd,CVE-2000-1010,1764,2000-10-05,2000-10-06
20,27-025_pw_error,CVE-2000-0993,1744,2000-10-04,2000-10-03
21,27-024_ipsec,CVE-2000-0962,1723,2000-09-17,2000-09-18
22,27-019_ftpd,CVE-2000-0574,1425,2000-07-05,2000-07-05
23,27-018_mopd,CVE-2000-0750 CVE-2000-0751,1558 1559,2000-08-08,2000-07-05
24,27-013_libedit,,,,2000-06-28
25,27-012_dhclient,CVE-2000-0585,,2000-06-24,2000-06-24
26,27-009_isakmpd,,,,2000-06-09
27,28-033_uucp,,,,2001-09-11
28,28-032_lpd,CVE-2001-0670,3252,2001-08-29,2001-08-29
29,28-031_sendmail,,,,2001-08-21
30,28-030_kernexec,,2873,2001-06-14,2001-06-15
31,28-029_fts,CVE-2001-1145,3205,2001-08-17,2001-05-30
32,28-028_sendmail,,,,2001-05-29
33,28-027_ipf-frag,CVE-2001-0402,2545,2001-04-06,2001-04-23
34,28-026_globlimit,,,,2001-04-23
35,28-025_glob,CVE-2001-0247,2548,2001-04-09,2001-04-10
36,28-023_ip_ah,CVE-2001-0284,88875,2001-05-03,2001-03-02
37,28-017_rnd,,,,2001-01-22
38,28-013_procfs,,,,2000-12-18
39,28-009_kerberos2,,,,2000-12-10
40,29-027_resolver,CVE-2002-0651,5100,2002-06-26,2002-06-25
41,29-026_fdalloc2,CVE-2002-0766,4708,2002-05-09,2002-05-08
42,29-025_sudo,,,,2002-04-25
43,29-024_sshafs,,,,2002-04-22
44,29-023_mail,CVE-2002-0542,4495,2002-04-11,2002-04-11
45,29-021_openssh,CVE-2002-0083,4241,2002-03-07,2002-03-08
46,29-020_ptrace,CVE-2002-2092,3891,2002-01-16,2002-02-20
47,29-019_sudo,,,,2002-01-17
48,29-012_nfs,,,,2001-07-30
49,29-006_sshcookie,CVE-2001-0529,2825,2001-06-04,2001-06-12
50,30-036_named,CVE-2002-1219 CVE-2002-1220 CVE-2002-1221,6159 6160 6161,2002-11-12,2002-11-14
51,30-035_kernresource,CVE-2002-2188,,2002-12-31,2002-11-06
52,30-034_smrsh,CVE-2002-1165,5845,2002-10-01,2002-11-06
53,30-033_kadmin,CVE-2002-1235,6024 6124,2002-10-21,2002-10-21
54,30-032_kerntime,CVE-2002-2180,5861,2002-10-02,2002-10-07
55,30-031_scarg,CVE-2002-1420,5442,2002-08-12,2002-08-11
56,30-030_ssl,,,,2002-07-30
57,30-029_xdr,CVE-2002-0391,5356,2002-07-30,2002-07-29
58,30-028_pppd,CVE-2002-0824,5355,2002-07-29,2002-07-29
59,30-026_ktrace,CVE-2002-0701,5133,2002-06-27,2002-06-27
60,30-023_mod_ssl,,,,2002-06-24
61,30-022_httpd,,,,2002-06-19
62,30-016_approval,CVE-2002-0557,4338,2002-03-19,2002-03-19
63,31-027_sendmail,CVE-2003-0681,8649,2003-09-17,2003-03-31
64,31-026_kerberos,,,,2003-03-24
65,31-025_kpr,,,,2003-03-19
66,31-024_blinding,,,,2003-03-18
67,31-022_sendmail,,,,2003-03-03
68,31-020_cvs,,,,2003-01-20
69,31-004_sshbsdauth,CVE-2002-0765,4803,2002-05-23,2002-05-22
70,32-020_asn1,CVE-2003-0543 CVE-2003-0544 CVE-2003-0545,8732,2003-09-30,2003-10-01
71,32-019_pfnorm,,8766,2003-10-04,2003-09-24
72,32-017_sshbuffer,,,,2003-09-16
